
 Number of particles is varied below:


Number of particles: 1000, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 997.2978404003201, Number of Items: 40.0, Value: -281.06845981958


Number of particles: 1150, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 992.7407665615231, Number of Items: 45.0, Value: -292.486265666511


Number of particles: 1300, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 987.8039531446352, Number of Items: 42.0, Value: -283.07944143580994


Number of particles: 1450, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 982.441840433945, Number of Items: 36.0, Value: -243.75217878639992


Number of particles: 1600, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 995.996887137592, Number of Items: 37.0, Value: -270.2702788253601


Number of particles: 1750, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 996.5683615769459, Number of Items: 48.0, Value: -340.601549592565


Number of particles: 1900, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 993.4242223196312, Number of Items: 42.0, Value: -277.27136559258


Number of particles: 2050, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 993.0920200858482, Number of Items: 40.0, Value: -288.76797193926996


Number of particles: 2200, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 997.3840798064982, Number of Items: 49.0, Value: -315.40850318303296


Number of particles: 2350, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 996.701516276295, Number of Items: 41.0, Value: -263.086388060705


Number of particles: 2500, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 989.8958894448699, Number of Items: 42.0, Value: -272.669142999713


Number of particles: 2650, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 997.3339116007259, Number of Items: 43.0, Value: -293.25807527019305


Number of particles: 2800, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 999.89751451357, Number of Items: 37.0, Value: -254.71705799383992


Number of particles: 2950, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 990.0882309391254, Number of Items: 37.0, Value: -276.2011077427499


Number of particles: 3100, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 996.417827665949, Number of Items: 42.0, Value: -299.0376862872099


Number of particles: 3250, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 991.652862623475, Number of Items: 42.0, Value: -260.89208044096705


Number of particles: 3400, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 991.8894304492242, Number of Items: 42.0, Value: -290.78477875755004


Number of particles: 3550, C1: 1.0, C2: 1.0, Inertia: 1.0, Knapsack treshold: 0.7, Weight: 993.720089571935, Number of Items: 44.0, Value: -289.45173671615987


